"","resi.0","resi.3","resi.6","resi.9","resi.12","resi.15"
"resi.0",1,0.573260402128417,0.44322480658341,0.439970288349426,0.511763700766474,0.441416879531198
"resi.3",0.573260402128417,1,0.569597195593988,0.592321972879743,0.541310025897005,0.567950350032397
"resi.6",0.44322480658341,0.569597195593988,1,0.555603274218385,0.426272869206017,0.489426440059079
"resi.9",0.439970288349426,0.592321972879743,0.555603274218385,1,0.449123535868005,0.530099931057059
"resi.12",0.511763700766474,0.541310025897005,0.426272869206017,0.449123535868005,1,0.515112086363838
"resi.15",0.441416879531198,0.567950350032397,0.489426440059079,0.530099931057059,0.515112086363838,1
